,Axis,N1,N2,Quantity,Type
0,X,0.10966108197011112,0.6396053013773325,1-one,foo
1,Y,-0.31409719147080223,-1.2661984345799209,1-one,foo
2,Z,-0.7307392438245573,0.4765392838355646,2-two,foo
3,X,0.336806393302492,-1.0153861987308286,3-three,bar
4,Y,-0.6594499572881257,0.06022340688369254,1-one,bar
5,Z,-0.5476299443616083,0.14562711452055224,1-one,bar
6,X,1.5608857745570452,-0.8866329695951826,2-two,foo
7,Y,0.6903667777277108,0.757342272408733,3-three,foo
8,Z,-1.0879245363974528,0.28928988682330603,1-one,foo
9,X,0.4311409524878725,0.4698300598223241,1-one,bar
10,Y,-0.5013504498752989,-1.5099819759193336,2-two,bar
11,Z,-0.7020795531631203,0.4691452123177511,3-three,bar
12,X,0.07125020619049001,-0.22565998553948663,1-one,foo
13,Y,0.4215790176418202,-0.08654285283046255,1-one,foo
14,Z,0.13665132318049109,1.3828179798775806,2-two,foo
15,X,-0.6794980386437525,-1.816698888109132,3-three,bar
16,Y,1.6867485975691592,-0.2851535650807923,1-one,bar
17,Z,-0.1886268649294985,-1.390401779571302,1-one,bar
18,X,1.6805446570477627,-0.007366723108627848,2-two,foo
19,Y,-0.2637783184442398,-0.8909262885532419,3-three,foo
20,Z,0.7937647368904568,0.26295908017181846,1-one,foo
21,X,0.1463292194109343,0.7617587480964462,1-one,bar
22,Y,-0.8102916777868846,1.4978796629012985,2-two,bar
23,Z,0.22361613369535976,0.5825213525741372,3-three,bar
